構成要素,検定種別,比較変数,群構成,N,効果量r,p値,構造的部分全体注意,低分散注意,オッズ比,q値(BH-FDR)
場所_病院,ベースライン,MMSE:復唱,落ちた(N=7) vs 落ちなかった(N=26),33,-0.03846153846153855,0.6565007277753426,False,True,,0.7639798188463373
場所_病院,Δ(0→18か月),MMSE:復唱,落ちた(N=6) vs 落ちなかった(N=25),31,0.08666666666666667,0.5581846494226572,False,True,,0.7639798188463373
場所_病院,ベースライン,MMSE:読字理解,,33,,,False,True,,
場所_病院,Δ(0→18か月),MMSE:読字理解,,31,,,False,True,,
場所_病院,ベースライン,MMSE:3段階命令,落ちた(N=7) vs 落ちなかった(N=26),33,-0.26923076923076916,0.13805989182908285,False,False,,0.4682031114203679
場所_病院,Δ(0→18か月),MMSE:3段階命令,落ちた(N=6) vs 落ちなかった(N=25),31,0.19999999999999996,0.3212596604441771,False,False,,0.7263261888303134
場所_病院,ベースライン,MMSE:書字,,33,,,False,True,,
場所_病院,Δ(0→18か月),MMSE:書字,落ちた(N=6) vs 落ちなかった(N=25),31,0.33333333333333337,0.004009935660806795,False,True,,0.23221375664370794
場所_病院,ベースライン,MMSE:図形模写,落ちた(N=7) vs 落ちなかった(N=26),33,-0.03846153846153855,0.6565007277753426,False,True,,0.7639798188463373
場所_病院,Δ(0→18か月),MMSE:図形模写,落ちた(N=6) vs 落ちなかった(N=25),31,0.12,0.4652337246904483,False,True,,0.7639798188463373
場所_病院,ベースライン,CDR:記憶,落ちた(N=7) vs 落ちなかった(N=23),30,-0.1366459627329193,0.42719587764441946,False,False,,0.7639798188463373
場所_病院,Δ(0→18か月),CDR:記憶,落ちた(N=6) vs 落ちなかった(N=21),27,0.11111111111111116,0.659888320774324,False,False,,0.7639798188463373
場所_病院,ベースライン,CDR:見当識,落ちた(N=7) vs 落ちなかった(N=23),30,-0.22360248447204967,0.26536542767100135,False,False,,0.6737138870705995
場所_病院,Δ(0→18か月),CDR:見当識,落ちた(N=6) vs 落ちなかった(N=21),27,-0.18253968253968256,0.4658225153099391,False,False,,0.7639798188463373
場所_病院,ベースライン,CDR:判断力・問題解決,落ちた(N=7) vs 落ちなかった(N=23),30,-0.17391304347826098,0.3919900848591362,False,False,,0.7639798188463373
場所_病院,Δ(0→18か月),CDR:判断力・問題解決,落ちた(N=6) vs 落ちなかった(N=21),27,-0.26984126984126977,0.279599845964987,False,False,,0.6737138870705995
場所_病院,ベースライン,CDR:地域社会の活動,落ちた(N=7) vs 落ちなかった(N=23),30,-0.6149068322981366,0.007627193001663298,False,False,,0.2379684216518949
