Phase,変数A,変数B,関係性,N,統計量,p値,検定,低分散注意,q値(BH-FDR)
A: Δ×Δ,MMSE:記銘,MMSE:図形模写,独立した組み合わせ,31,0.03507361872061008,0.8514143852598337,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=4",0.9059577088557726
A: Δ×Δ,MMSE:記銘,CDR:記憶,独立した組み合わせ,27,0.21921940259346587,0.27193031033781917,Spearman相関,低分散注意: A非モーダル数=1,0.7159045871137184
A: Δ×Δ,MMSE:記銘,CDR:見当識,独立した組み合わせ,27,0.21467550217363005,0.2822393650315101,Spearman相関,低分散注意: A非モーダル数=1,0.720130944121923
A: Δ×Δ,MMSE:記銘,CDR:判断力・問題解決,独立した組み合わせ,27,-0.11316223494791972,0.5741195392916647,Spearman相関,低分散注意: A非モーダル数=1,0.8610664821163126
A: Δ×Δ,MMSE:記銘,CDR:地域社会の活動,独立した組み合わせ,27,-0.19457794562353908,0.330775724020043,Spearman相関,低分散注意: A非モーダル数=1,0.7583787056172921
A: Δ×Δ,MMSE:記銘,CDR:家庭・趣味,独立した組み合わせ,27,-0.17636890537566463,0.37885808229569495,Spearman相関,低分散注意: A非モーダル数=1,0.7957377642483056
A: Δ×Δ,MMSE:記銘,CDR:身の回りの世話,独立した組み合わせ,27,-0.10409668775392324,0.6053551727652,Spearman相関,低分散注意: A非モーダル数=1,0.8715924600501406
A: Δ×Δ,MMSE:注意計算,MMSE:遅延再生,独立した組み合わせ,31,0.09306043713105709,0.618534140090602,Spearman相関,,0.8783421414594189
A: Δ×Δ,MMSE:注意計算,MMSE:復唱,独立した組み合わせ,31,0.1814000096141799,0.3287563984243005,Spearman相関,低分散注意: B非モーダル数=3,0.7583787056172921
A: Δ×Δ,MMSE:注意計算,MMSE:読字理解,独立した組み合わせ,31,,,Spearman相関,低分散注意: B非モーダル数=0,
A: Δ×Δ,MMSE:注意計算,MMSE:3段階命令,独立した組み合わせ,31,0.11371459734795354,0.5424589389370824,Spearman相関,,0.8551992424450191
A: Δ×Δ,MMSE:注意計算,MMSE:書字,独立した組み合わせ,31,0.12044393525691274,0.5186669570103021,Spearman相関,低分散注意: B非モーダル数=2,0.8513692907788152
A: Δ×Δ,MMSE:注意計算,MMSE:図形模写,独立した組み合わせ,31,0.14566067482445158,0.43429665861850086,Spearman相関,低分散注意: B非モーダル数=4,0.8232507499347392
A: Δ×Δ,MMSE:注意計算,CDR:記憶,独立した組み合わせ,27,-0.44137165490495867,0.02118374989242487,Spearman相関,,0.2140289213269133
A: Δ×Δ,MMSE:注意計算,CDR:見当識,独立した組み合わせ,27,-0.3852306423591772,0.047217863769382584,Spearman相関,,0.3255255078689199
A: Δ×Δ,MMSE:注意計算,CDR:判断力・問題解決,独立した組み合わせ,27,-0.334305085392286,0.08831831474087913,Spearman相関,,0.42076855640776567
A: Δ×Δ,MMSE:注意計算,CDR:地域社会の活動,独立した組み合わせ,27,-0.3296856307402851,0.09308174897237362,Spearman相関,,0.4318004265939634
A: Δ×Δ,MMSE:注意計算,CDR:家庭・趣味,独立した組み合わせ,27,-0.20748924758086912,0.29904410701389095,Spearman相関,,0.7394086359077641
A: Δ×Δ,MMSE:注意計算,CDR:身の回りの世話,独立した組み合わせ,27,-0.19689304871835556,0.3249408766589575,Spearman相関,,0.7583787056172921
A: Δ×Δ,MMSE:遅延再生,MMSE:復唱,独立した組み合わせ,31,0.17093565148222187,0.357880736131647,Spearman相関,低分散注意: B非モーダル数=3,0.7839565723947962
A: Δ×Δ,MMSE:遅延再生,MMSE:読字理解,独立した組み合わせ,31,,,Spearman相関,低分散注意: B非モーダル数=0,
A: Δ×Δ,MMSE:遅延再生,MMSE:3段階命令,独立した組み合わせ,31,0.13852288048981604,0.4573833857416407,Spearman相関,,0.8232507499347392
A: Δ×Δ,MMSE:遅延再生,MMSE:書字,独立した組み合わせ,31,0.07405609341514256,0.6921588404714683,Spearman相関,低分散注意: B非モーダル数=2,0.9051729734760916
A: Δ×Δ,MMSE:遅延再生,MMSE:図形模写,独立した組み合わせ,31,0.3759128340685193,0.037149447377086635,Spearman相関,低分散注意: B非モーダル数=4,0.28644179161806277
A: Δ×Δ,MMSE:遅延再生,CDR:記憶,独立した組み合わせ,27,-0.08380924092070406,0.6776942902625323,Spearman相関,,0.8984815703480631
A: Δ×Δ,MMSE:遅延再生,CDR:見当識,独立した組み合わせ,27,-0.1319289402800136,0.511848879469644,Spearman相関,,0.8425377622730655
A: Δ×Δ,MMSE:遅延再生,CDR:判断力・問題解決,独立した組み合わせ,27,-0.2634430445299236,0.1842729713725465,Spearman相関,,0.6314851533585512
A: Δ×Δ,MMSE:遅延再生,CDR:地域社会の活動,独立した組み合わせ,27,-0.21899455010431537,0.27243468076170513,Spearman相関,,0.7159045871137184
A: Δ×Δ,MMSE:遅延再生,CDR:家庭・趣味,独立した組み合わせ,27,-0.047443812603973526,0.8142148707747406,Spearman相関,,0.9059577088557726
A: Δ×Δ,MMSE:遅延再生,CDR:身の回りの世話,独立した組み合わせ,27,-0.07368945254922443,0.7149020495759487,Spearman相関,,0.9059577088557726
A: Δ×Δ,MMSE:復唱,MMSE:読字理解,独立した組み合わせ,31,,,Spearman相関,"低分散注意: A非モーダル数=3, B非モーダル数=0",
A: Δ×Δ,MMSE:復唱,MMSE:3段階命令,独立した組み合わせ,31,0.12516835024464038,0.5022745785800447,Spearman相関,低分散注意: A非モーダル数=3,0.8325918948885798
A: Δ×Δ,MMSE:復唱,MMSE:書字,独立した組み合わせ,31,0.35816765941328305,0.04787982106641499,Spearman相関,"低分散注意: A非モーダル数=3, B非モーダル数=2",0.32625087377813006
A: Δ×Δ,MMSE:復唱,MMSE:図形模写,独立した組み合わせ,31,0.2515259551665573,0.17226894407801682,Spearman相関,"低分散注意: A非モーダル数=3, B非モーダル数=4",0.611815765028593
A: Δ×Δ,MMSE:復唱,CDR:記憶,独立した組み合わせ,27,0.2318526603440152,0.2445551687451742,Spearman相関,低分散注意: A非モーダル数=3,0.6981171322766211
A: Δ×Δ,MMSE:復唱,CDR:見当識,独立した組み合わせ,27,-0.041281254969226897,0.8380092993926033,Spearman相関,低分散注意: A非モーダル数=3,0.9059577088557726
A: Δ×Δ,MMSE:復唱,CDR:判断力・問題解決,独立した組み合わせ,27,-0.18360550824787242,0.3592866555640405,Spearman相関,低分散注意: A非モーダル数=3,0.7839565723947962
A: Δ×Δ,MMSE:復唱,CDR:地域社会の活動,独立した組み合わせ,27,-0.10022296571715915,0.6189162235527905,Spearman相関,低分散注意: A非モーダル数=3,0.8783421414594189
A: Δ×Δ,MMSE:復唱,CDR:家庭・趣味,独立した組み合わせ,27,-0.12718142634588303,0.5272832318728704,Spearman相関,低分散注意: A非モーダル数=3,0.8521525748125034
A: Δ×Δ,MMSE:復唱,CDR:身の回りの世話,独立した組み合わせ,27,-0.23770643202506525,0.23250948612378478,Spearman相関,低分散注意: A非モーダル数=3,0.6951559125945811
A: Δ×Δ,MMSE:読字理解,MMSE:3段階命令,独立した組み合わせ,31,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:読字理解,MMSE:書字,独立した組み合わせ,31,,,Spearman相関,"低分散注意: A非モーダル数=0, B非モーダル数=2",
A: Δ×Δ,MMSE:読字理解,MMSE:図形模写,独立した組み合わせ,31,,,Spearman相関,"低分散注意: A非モーダル数=0, B非モーダル数=4",
A: Δ×Δ,MMSE:読字理解,CDR:記憶,独立した組み合わせ,27,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:読字理解,CDR:見当識,独立した組み合わせ,27,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:読字理解,CDR:判断力・問題解決,独立した組み合わせ,27,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:読字理解,CDR:地域社会の活動,独立した組み合わせ,27,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:読字理解,CDR:家庭・趣味,独立した組み合わせ,27,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:読字理解,CDR:身の回りの世話,独立した組み合わせ,27,,,Spearman相関,低分散注意: A非モーダル数=0,
A: Δ×Δ,MMSE:3段階命令,MMSE:書字,独立した組み合わせ,31,0.10042201128902851,0.5909145652277861,Spearman相関,低分散注意: B非モーダル数=2,0.8689757043597575
A: Δ×Δ,MMSE:3段階命令,MMSE:図形模写,独立した組み合わせ,31,-0.12559382757050416,0.5008111494967703,Spearman相関,低分散注意: B非モーダル数=4,0.8325918948885798
A: Δ×Δ,MMSE:3段階命令,CDR:記憶,独立した組み合わせ,27,0.04707757460593812,0.8156246912722033,Spearman相関,,0.9059577088557726
A: Δ×Δ,MMSE:3段階命令,CDR:見当識,独立した組み合わせ,27,-0.14392746983499968,0.47385352252269514,Spearman相関,,0.8232507499347392
A: Δ×Δ,MMSE:3段階命令,CDR:判断力・問題解決,独立した組み合わせ,27,0.2800622429706478,0.1571023213433789,Spearman相関,,0.5859710970736767
A: Δ×Δ,MMSE:3段階命令,CDR:地域社会の活動,独立した組み合わせ,27,0.09827670344267984,0.6257762709448033,Spearman相関,,0.8793882368672774
A: Δ×Δ,MMSE:3段階命令,CDR:家庭・趣味,独立した組み合わせ,27,0.19666067724018543,0.32552367610420396,Spearman相関,,0.7583787056172921
A: Δ×Δ,MMSE:3段階命令,CDR:身の回りの世話,独立した組み合わせ,27,0.000681550683424609,0.9973080582307298,Spearman相関,,1.0
A: Δ×Δ,MMSE:書字,MMSE:図形模写,独立した組み合わせ,31,0.32792200402305405,0.07171360345018897,Spearman相関,"低分散注意: A非モーダル数=2, B非モーダル数=4",0.39645444926236545
A: Δ×Δ,MMSE:書字,CDR:記憶,独立した組み合わせ,27,0.2318526603440152,0.2445551687451742,Spearman相関,低分散注意: A非モーダル数=2,0.6981171322766211
A: Δ×Δ,MMSE:書字,CDR:見当識,独立した組み合わせ,27,-0.3096094122692017,0.11605469641103687,Spearman相関,低分散注意: A非モーダル数=2,0.503763348865686
A: Δ×Δ,MMSE:書字,CDR:判断力・問題解決,独立した組み合わせ,27,-0.18360550824787242,0.3592866555640405,Spearman相関,低分散注意: A非モーダル数=2,0.7839565723947962
A: Δ×Δ,MMSE:書字,CDR:地域社会の活動,独立した組み合わせ,27,-0.10022296571715915,0.6189162235527905,Spearman相関,低分散注意: A非モーダル数=2,0.8783421414594189
A: Δ×Δ,MMSE:書字,CDR:家庭・趣味,独立した組み合わせ,27,-0.3424115324696851,0.08040793537769597,Spearman相関,低分散注意: A非モーダル数=2,0.41663304620493047
A: Δ×Δ,MMSE:書字,CDR:身の回りの世話,独立した組み合わせ,27,-0.6255432421712243,0.0004842229097072622,Spearman相関,低分散注意: A非モーダル数=2,0.011823109378685652
A: Δ×Δ,MMSE:図形模写,CDR:記憶,独立した組み合わせ,27,-0.03846582315363236,0.8489278051466276,Spearman相関,低分散注意: A非モーダル数=4,0.9059577088557726
A: Δ×Δ,MMSE:図形模写,CDR:見当識,独立した組み合わせ,27,-0.2276977550124019,0.2533500061686465,Spearman相関,低分散注意: A非モーダル数=4,0.7103497780613726
A: Δ×Δ,MMSE:図形模写,CDR:判断力・問題解決,独立した組み合わせ,27,-0.1389197633782975,0.4895317754681442,Spearman相関,低分散注意: A非モーダル数=4,0.8325918948885798
A: Δ×Δ,MMSE:図形模写,CDR:地域社会の活動,独立した組み合わせ,27,-0.24678372197828496,0.21462401719455665,Spearman相関,低分散注意: A非モーダル数=4,0.6739522487035026
A: Δ×Δ,MMSE:図形模写,CDR:家庭・趣味,独立した組み合わせ,27,-0.33736099916812295,0.08527003140837403,Spearman相関,低分散注意: A非モーダル数=4,0.41715614996117883
A: Δ×Δ,MMSE:図形模写,CDR:身の回りの世話,独立した組み合わせ,27,-0.16425371470533076,0.41296682115723665,Spearman相関,低分散注意: A非モーダル数=4,0.820334092197087
A: Δ×Δ,CDR:記憶,CDR:見当識,独立した組み合わせ,27,0.3526750114890141,0.07118131102064049,Spearman相関,,0.39645444926236545
A: Δ×Δ,CDR:記憶,CDR:判断力・問題解決,独立した組み合わせ,27,0.060119559078785266,0.7657963186396581,Spearman相関,,0.9059577088557726
A: Δ×Δ,CDR:記憶,CDR:地域社会の活動,独立した組み合わせ,27,0.23432558545833565,0.2394173061339998,Spearman相関,,0.6981171322766211
A: Δ×Δ,CDR:記憶,CDR:家庭・趣味,独立した組み合わせ,27,0.2209069303007498,0.26816414514694364,Spearman相関,,0.7159045871137184
A: Δ×Δ,CDR:記憶,CDR:身の回りの世話,独立した組み合わせ,27,0.1081649867540828,0.5912492639386733,Spearman相関,,0.8689757043597575
A: Δ×Δ,CDR:見当識,CDR:判断力・問題解決,独立した組み合わせ,27,0.31737063585309766,0.10672470903507884,Spearman相関,,0.4702306728914
A: Δ×Δ,CDR:見当識,CDR:地域社会の活動,独立した組み合わせ,27,0.4187130993597732,0.029724343748779528,Spearman相関,,0.25441945673220906
A: Δ×Δ,CDR:見当識,CDR:家庭・趣味,独立した組み合わせ,27,0.37918175304636953,0.05110454166148626,Spearman相関,,0.3364860832992241
A: Δ×Δ,CDR:見当識,CDR:身の回りの世話,独立した組み合わせ,27,0.11476982255265401,0.5686563176430011,Spearman相関,,0.8610664821163126
A: Δ×Δ,CDR:判断力・問題解決,CDR:地域社会の活動,独立した組み合わせ,27,0.7807380536594628,1.5519291019372474e-06,Spearman相関,,0.00018188609074704538
A: Δ×Δ,CDR:判断力・問題解決,CDR:家庭・趣味,独立した組み合わせ,27,0.36922854089112506,0.05804212840746843,Spearman相関,,0.36325206573544844
A: Δ×Δ,CDR:判断力・問題解決,CDR:身の回りの世話,独立した組み合わせ,27,0.3681918973036559,0.058804930768211826,Spearman相関,,0.36325206573544844
A: Δ×Δ,CDR:地域社会の活動,CDR:家庭・趣味,独立した組み合わせ,27,0.46555591615653213,0.014396022406886668,Spearman相関,,0.17415714294741755
A: Δ×Δ,CDR:地域社会の活動,CDR:身の回りの世話,独立した組み合わせ,27,0.24613121055411416,0.21587769708764148,Spearman相関,,0.6739522487035026
A: Δ×Δ,CDR:家庭・趣味,CDR:身の回りの世話,独立した組み合わせ,27,0.07593092990433642,0.7066021877610503,Spearman相関,,0.9051729734760916
