時点,区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,p
12か月,初回,初回 CDR 記憶,0.50±0.00,8,0.50,1,0.5,
12か月,初回,初回 CDR 見当識,0.19±0.26,8,0.50,1,0.5,0.6666666666666666
12か月,初回,初回 CDR 判断力・問題解決,0.44±0.18,8,0.50,1,0.5,1.0
12か月,初回,初回 CDR 地域社会の活動,0.19±0.26,8,0.50,1,0.5,0.6666666666666666
12か月,初回,初回 CDR 家庭・趣味,0.12±0.23,8,0.00,1,0,0.8888888888888888
12か月,初回,初回 CDR 身の回りの世話,0.00±0.00,8,0.00,1,0,
12か月,12か月,12か月 MMSE合計,25.0±3.1,8,22.0,1,22,0.6666666666666666
12か月,12か月,12か月 CDR-SB,2.5±1.4,8,3.0,1,3,0.8888888888888888
12か月,12か月,12か月 Global CDR,0.62±0.23,8,0.50,1,0.5,0.8888888888888888
12か月,12か月,12か月 MoCA-J,21.0,1,－,0,,
12か月,12か月,12か月 MMSE 時間見当識,4.0±1.1,8,2.0,1,2,0.4444444444444444
12か月,12か月,12か月 MMSE 場所見当識,4.6±0.5,8,5.0,1,5,0.8888888888888888
12か月,12か月,12か月 MMSE 物品呼称,2.0±0.0,8,2.0,1,2,
12か月,12か月,12か月 MMSE 記銘,3.0±0.0,8,3.0,1,3,
12か月,12か月,12か月 MMSE 注意計算,3.9±1.4,8,3.0,1,3,0.8888888888888888
12か月,12か月,12か月 MMSE 遅延再生,0.8±1.2,8,0.0,1,0,0.8888888888888888
12か月,12か月,12か月 MMSE 復唱,1.0±0.0,8,1.0,1,1,
12か月,12か月,12か月 MMSE 読字理解,1.0±0.0,8,1.0,1,1,
12か月,12か月,12か月 MMSE 3段階命令,2.9±0.4,8,3.0,1,3,1.0
12か月,12か月,12か月 MMSE 書字,1.0±0.0,8,1.0,1,1,
12か月,12か月,12か月 MMSE 図形模写,0.9±0.4,8,1.0,1,1,1.0
12か月,12か月,12か月 CDR 記憶,0.69±0.26,8,1.00,1,1,0.6666666666666666
12か月,12か月,12か月 CDR 見当識,0.38±0.23,8,0.50,1,0.5,0.8888888888888888
12か月,12か月,12か月 CDR 判断力・問題解決,0.50±0.27,8,0.50,1,0.5,1.0
12か月,12か月,12か月 CDR 地域社会の活動,0.44±0.42,8,0.50,1,0.5,1.0
12か月,12か月,12か月 CDR 家庭・趣味,0.38±0.35,8,0.50,1,0.5,0.8888888888888888
