n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,p_fdr
4,7,0.1725,0,0,0.504,0,0.968,14,1,0,0.5,,,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_見当識/年,1
4,7,0,0,0,0,0,0.339,12,0.7879,-0.1429,0.4286,513,555,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_判断力・問題解決/年,1
4,7,0.1725,0,0,0.504,0,0.343,19,0.4121,0.3571,0.6786,83,89,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_地域社会の活動/年,1
4,7,0,0,0,0.504,0,0.686,13,0.9273,-0.07143,0.4643,2052,2217,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_家庭・趣味/年,1
4,7,0,0,0,0,0,0.678,12,0.7879,-0.1429,0.4286,513,555,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_身の回りの世話/年,1
4,7,0,0,0,0,0,0.343,10,0.5273,-0.2857,0.3571,129,139,,NPI第9項目（易怒性）,C_新規出現,ΔGlobalCDR/年,1
1,2,0,-0.6935,0,0,-2.743,1.356,1,1,0,0.5,,,到達可能な最小p=0.667（この配分では有意になりえない）,NPI第9項目（易怒性）,C_新規出現,ΔMoCA-J/年,1
3,8,0,-1.228,-3.288,0,-4.034,5.294,11,0.9212,-0.08333,0.4583,1507,1900,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE合計/年,1
3,8,-1.935,-0.849,-2.057,-1.644,-1.765,3.529,1,0.02424,-0.9167,0.04167,13,16,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_時間見当識/年,1
3,8,0,0,0,1.371,-1.519,1.765,13,0.9212,0.08333,0.5417,1507,1900,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_場所見当識/年,1
3,8,0,0,0,1.935,0,0,16,0.497,0.3333,0.6667,95,119,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_記銘/年,1
3,8,0,0,0,0.686,-3.025,1.765,14,0.7758,0.1667,0.5833,377,475,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_注意計算/年,1
3,8,0,0,-1.644,0,-1.765,0,13,0.9212,0.08333,0.5417,1507,1900,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_遅延再生/年,1
3,8,0,0,0,0,0,0.968,10.5,0.9212,-0.125,0.4375,670,845,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_復唱/年,1
3,8,0.968,0.345,0.822,1.714,0,2.017,17,0.3758,0.4167,0.7083,61,76,,NPI第9項目（易怒性）,D_BLあり,ΔCDR-SB/年,1
3,8,0,0,0,0.343,0,0.504,12,1,0,0.5,,,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_記憶/年,1
3,8,0.822,0,0.343,0.968,0,0.504,22,0.04848,0.8333,0.9167,16,19,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_見当識/年,1
3,8,0,0,0,0,0,0.339,10.5,0.9212,-0.125,0.4375,670,845,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_判断力・問題解決/年,1
3,8,0,0,0,0.343,0,0.504,11,0.9212,-0.08333,0.4583,1507,1900,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_地域社会の活動/年,1
3,8,0,0,0,0.686,0,0.504,14,0.7758,0.1667,0.5833,377,475,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_家庭・趣味/年,1
3,8,0,0,0,0,0,0.678,10.5,0.9212,-0.125,0.4375,670,845,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_身の回りの世話/年,1
3,8,0,0,0,0.343,0,0.339,15,0.6303,0.25,0.625,168,212,,NPI第9項目（易怒性）,D_BLあり,ΔGlobalCDR/年,1
1,2,-2.743,0.678,-2.743,-2.743,0,1.356,0,0.6667,-1,0,11,12,到達可能な最小p=0.667（この配分では有意になりえない）,NPI第9項目（易怒性）,D_BLあり,ΔMoCA-J/年,1
