n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,除外数,群1症例,群2症例,p_fdr
8,5,-1,-1,-1,2,-3,0,23,0.7242,0.15,0.575,466,492,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_時間見当識,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,-1,1,0,2,12.5,0.3543,-0.375,0.3125,75,79,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_場所見当識,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,1,0,1,18.5,0.9433,-0.075,0.4625,1861,1966,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_記銘,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,-3,1,0,3,14.5,0.5237,-0.275,0.3625,139,147,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_注意計算,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
3,3,-1,-1,-1,0,-1,0,4.5,1,0,0.5,,,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_遅延再生,14,"L40,L42,L59","L2,L58,L60",1
8,5,0.75,0.5,0,2,0,2.5,18.5,0.9433,-0.075,0.4625,1861,1966,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR-SB,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,0.5,0,0.5,17,0.7242,-0.15,0.425,466,492,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_記憶,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0.5,0,0.5,0,0.5,15.5,0.6216,-0.225,0.3875,207,219,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_見当識,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,0.5,0,0,22.5,0.8329,0.125,0.5625,670,708,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_判断力・問題解決,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,0.5,0,0.5,23.5,0.7242,0.175,0.5875,342,361,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_地域社会の活動,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,0.5,0,1,16,0.6216,-0.2,0.4,262,277,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_家庭・趣味,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,1,0,0,22.5,0.8329,0.125,0.5625,670,708,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_身の回りの世話,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
8,5,0,0,0,0.5,0,0.5,18.5,0.9433,-0.075,0.4625,1861,1966,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔGlobalCDR,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
2,3,1,-2,0,2,-4,1,5,0.4,0.6667,0.8333,24,25,到達可能な最小p=0.200（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMoCA-J,15,"L24,L26","L2,L3,L27",1
3,10,1,-1,0,3,-4,3,24,0.1608,0.6,0.8,30,41,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE合計,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,-1,-3,0,-1,2,16,0.9371,0.06667,0.5333,2355,3317,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_時間見当識,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,0,0,2,-1,1,19,0.5734,0.2667,0.6333,148,208,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_場所見当識,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,0,0,1,0,1,18.5,0.6923,0.2333,0.6167,193,271,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_記銘,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,1,0,0,3,-3,1,23.5,0.2168,0.5667,0.7833,33,46,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_注意計算,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,5,0,-1,0,0,-1,0,4.5,0.6667,0.8,0.9,17,30,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_遅延再生,14,L2,"L40,L42,L58,L59,L60",1
3,10,1,0.5,0.5,2.5,0,2,22,0.2867,0.4667,0.7333,49,68,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR-SB,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0.5,0,0,0.5,0,0.5,22,0.2867,0.4667,0.7333,49,68,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_記憶,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0.5,0,0,0.5,0,0.5,19,0.5734,0.2667,0.6333,148,208,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_見当識,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,0,0,0,0,0.5,13.5,0.9371,-0.1,0.45,1047,1474,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_判断力・問題解決,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,0,0,0.5,0,0.5,15.5,1,0.03333,0.5167,9419,13265,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_地域社会の活動,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0.5,0,0,1,0,0.5,23,0.2168,0.5333,0.7667,37,52,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_家庭・趣味,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,0,0,0,0,1,13.5,0.9371,-0.1,0.45,1047,1474,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_身の回りの世話,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,10,0,0,0,0.5,0,0.5,18.5,0.6923,0.2333,0.6167,193,271,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔGlobalCDR,7,"L2,L3,L27","L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
3,2,-2,1,-4,1,0,2,1,0.4,-0.6667,0.1667,24,25,到達可能な最小p=0.200（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMoCA-J,15,"L2,L3,L27","L24,L26",1
3,10,-1,0,-2,3,-4,3,15,1,0,0.5,,,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE合計,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,-1,-1,-1,2,-3,0,17,0.8112,0.1333,0.5667,589,830,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_時間見当識,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,1,0,0,1,-1,2,23,0.2168,0.5333,0.7667,37,52,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_場所見当識,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,1,12,0.6923,-0.2,0.4,262,369,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_記銘,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,1,-3,3,16,0.9371,0.06667,0.5333,2355,3317,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_注意計算,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,3,-1,0,-1,-1,-1,0,1.5,0.4,-0.6667,0.1667,24,24,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_遅延再生,14,"L58,L59,L60","L2,L40,L42",1
3,10,0,1,0,0.5,0,2.5,5,0.1119,-0.6667,0.1667,24,34,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR-SB,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,0.5,9,0.3706,-0.4,0.3,66,93,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_記憶,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0.25,0,0.5,0,0.5,12.5,0.8112,-0.1667,0.4167,377,531,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_見当識,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,0.5,13.5,0.9371,-0.1,0.45,1047,1474,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_判断力・問題解決,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,0.5,9,0.3706,-0.4,0.3,66,93,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_地域社会の活動,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,1,9,0.3706,-0.4,0.3,66,93,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_家庭・趣味,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,1,13.5,0.9371,-0.1,0.45,1047,1474,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_身の回りの世話,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
3,10,0,0,0,0,0,0.5,12,0.6923,-0.2,0.4,262,369,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔGlobalCDR,7,"L58,L59,L60","L2,L3,L24,L26,L27,L40,L41,L42,L57,L61",1
1,13,0,0,0,0,-4,3,7,1,0.07692,0.5385,1769,6667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE合計,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,-3,-1,-3,-3,-1,2,0,0.1429,-1,0,11,40,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_時間見当識,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,2,0,2,2,-1,1,13,0.1429,1,1,11,40,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_場所見当識,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0,0,0,0,0,1,5.5,1,-0.1538,0.4231,443,1667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_記銘,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,1,0,1,1,-3,3,11,0.4286,0.6923,0.8462,22,83,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_注意計算,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,2.5,0.5,2.5,2.5,0,2,13,0.1429,1,1,11,40,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR-SB,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0.5,0,0.5,0.5,0,0.5,11,0.4286,0.6923,0.8462,22,83,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_記憶,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0.5,0,0.5,0.5,0,0.5,10.5,0.5714,0.6154,0.8077,28,105,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_見当識,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0,0,0,0,0,0.5,5.5,1,-0.1538,0.4231,443,1667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_判断力・問題解決,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0.5,0,0.5,0.5,0,0.5,11,0.4286,0.6923,0.8462,22,83,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_地域社会の活動,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,1,0,1,1,0,0.5,13,0.1429,1,1,11,40,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_家庭・趣味,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0,0,0,0,0,1,6,1,-0.07692,0.4615,1769,6667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_身の回りの世話,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,13,0.5,0,0.5,0.5,0,0.5,12,0.2857,0.8462,0.9231,15,56,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔGlobalCDR,6,L27,"L2,L3,L4,L24,L26,L40,L41,L42,L57,L58,L59,L60,L61",1
1,5,-4,1,-4,-4,-2,2,0,0.3333,-1,0,11,19,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMoCA-J,14,L27,"L2,L3,L4,L24,L26",1
6,8,0.5,-0.5,-2,1,-4,3,26,0.8518,0.08333,0.5417,1507,1539,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE合計,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,-0.5,-1,-3,0,-1,2,21.5,0.8518,-0.1042,0.4479,965,985,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_時間見当識,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,-1,2,0,1,20,0.662,-0.1667,0.4167,377,385,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_場所見当識,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,1,0,1,25,0.9497,0.04167,0.5208,6028,6154,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_記銘,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,1,-3,3,29,0.5728,0.2083,0.6042,242,247,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_注意計算,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
2,4,-0.5,-1,-1,0,-1,0,5,0.8,0.25,0.625,168,189,到達可能な最小p=0.133（この配分では有意になりえない）,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_遅延再生,14,"L40,L42","L2,L58,L59,L60",1
6,8,1,0.5,0,2.5,0,2,28,0.662,0.1667,0.5833,377,385,,NPI第9項目（易怒性）,B_最終なし,ΔCDR-SB,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0.25,0,0,0.5,0,0.5,30,0.4908,0.25,0.625,168,171,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_記憶,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0.25,0,0.5,0,0.5,20,0.662,-0.1667,0.4167,377,385,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_見当識,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,0.5,0,0.5,25,0.9497,0.04167,0.5208,6028,6154,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_判断力・問題解決,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,0.5,0,0.5,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_地域社会の活動,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,1,0,0.5,24.5,1,0.02083,0.5104,24112,24615,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_家庭・趣味,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,1,0,0,28,0.662,0.1667,0.5833,377,385,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_身の回りの世話,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
6,8,0,0,0,0.5,0,0.5,29,0.5728,0.2083,0.6042,242,247,,NPI第9項目（易怒性）,B_最終なし,ΔGlobalCDR,6,"L3,L26,L27,L40,L42,L61","L2,L4,L24,L41,L57,L58,L59,L60",1
3,3,-2,1,-4,2,0,1,3,0.7,-0.3333,0.3333,95,95,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第9項目（易怒性）,B_最終なし,ΔMoCA-J,14,"L3,L26,L27","L2,L4,L24",1
6,8,-0.5,0,-4,3,-2,1,26,0.8518,0.08333,0.5417,1507,1539,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE合計,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,-0.5,-1,-1,2,-3,0,31.5,0.4136,0.3125,0.6562,108,110,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_時間見当識,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,0,1,-1,2,30,0.4908,0.25,0.625,168,171,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_場所見当識,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,0,0,0,1,18,0.4908,-0.25,0.375,168,171,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_記銘,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,-3,3,0,1,21,0.7546,-0.125,0.4375,670,684,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_注意計算,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
3,3,-1,-1,-1,0,-1,0,4.5,1,0,0.5,,,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_遅延再生,14,"L2,L59,L60","L40,L42,L58",1
6,8,0.75,0.75,0,2,0,2.5,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,C_新規出現,ΔCDR-SB,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,0,0.5,0,0.5,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_記憶,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0.25,0,0.5,0,0.5,20,0.662,-0.1667,0.4167,377,385,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_見当識,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,0,0.5,0,0.5,25,0.9497,0.04167,0.5208,6028,6154,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_判断力・問題解決,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0.25,0,0,0.5,0,0.5,30,0.4908,0.25,0.625,168,171,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_地域社会の活動,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0.25,0,0,0.5,0,1,28.5,0.662,0.1875,0.5938,298,304,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_家庭・趣味,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,0,0,0,1,21,0.7546,-0.125,0.4375,670,684,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_身の回りの世話,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
6,8,0,0,0,0.5,0,0.5,22,0.8518,-0.08333,0.4583,1507,1539,,NPI第9項目（易怒性）,C_新規出現,ΔGlobalCDR,6,"L2,L4,L24,L41,L59,L60","L3,L26,L27,L40,L42,L57,L58,L61",1
3,3,1,-2,0,1,-4,2,6,0.7,0.3333,0.6667,95,95,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第9項目（易怒性）,C_新規出現,ΔMoCA-J,14,"L2,L4,L24","L3,L26,L27",1
3,11,0,0,-2,0,-4,3,13,0.6593,-0.2121,0.3939,233,346,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE合計,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,-1,0,-3,-1,-1,2,5,0.08791,-0.697,0.1515,22,32,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_時間見当識,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
